               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11779,            0.017515,            0.028874,           0.0011004,             0.15448,          0.00079182,          0.00020524,              0.1007,            0.016302,            0.027481,              0.0793,              0.0023,              0.0023
                   1,            0.096142,            0.022641,            0.025587,           0.0047201,             0.73978,            0.061017,            0.016613,            0.080999,            0.018124,            0.026328,            0.057669,            0.004669,            0.004669
                   2,            0.083447,            0.025021,             0.02467,             0.17391,             0.50573,              0.1898,            0.045428,            0.084206,            0.014907,             0.02612,            0.036006,           0.0070063,           0.0070063
                   3,            0.076464,            0.020235,            0.023754,              0.2043,             0.58136,             0.26007,            0.066141,            0.072094,            0.015358,            0.025082,            0.014312,           0.0093119,           0.0093119
                   4,            0.073237,            0.019992,            0.023404,             0.30041,             0.52716,             0.31253,             0.10555,            0.065272,            0.013881,            0.024155,            0.009736,            0.009736,            0.009736
                   5,              0.0684,            0.019719,            0.023794,             0.44423,             0.55018,              0.4766,             0.17632,            0.058061,            0.013127,             0.02326,            0.009736,            0.009736,            0.009736
                   6,            0.061497,            0.017807,            0.021754,             0.35655,             0.51685,             0.47132,              0.1655,            0.055458,            0.012622,            0.021623,             0.00967,             0.00967,             0.00967
                   7,            0.058885,            0.016895,            0.021374,             0.39869,             0.63877,             0.44946,             0.16531,            0.052985,            0.012306,            0.019717,            0.009604,            0.009604,            0.009604
                   8,            0.057074,              0.0159,             0.01956,             0.60804,             0.65732,             0.64484,             0.19918,            0.052109,            0.012648,            0.017506,            0.009538,            0.009538,            0.009538
                   9,            0.054625,            0.015185,            0.016102,             0.56092,             0.75573,              0.6923,             0.26474,            0.051354,            0.012377,            0.016538,            0.009472,            0.009472,            0.009472
                  10,            0.054507,            0.016264,            0.013745,              0.5423,             0.71864,             0.63546,             0.27846,            0.046322,            0.011751,            0.014878,            0.009406,            0.009406,            0.009406
                  11,            0.052345,            0.014449,            0.012175,             0.74373,             0.75124,             0.78276,             0.35855,            0.046121,            0.011627,            0.010036,             0.00934,             0.00934,             0.00934
